50	0	4.143324852
150	0	4.143324852
250	0	4.143348487
350	2.893138958	3.999057433
450	2.892012119	3.938834743
550	2.88793087	3.910674506
650	2.894402528	3.891954972
750	2.889614983	3.878059343
850	2.89271858	3.866469145
950	2.894267052	3.856431007
1050	2.891082556	3.847382862
1150	0	4.003960846
1250	0	4.021485265
1350	0	4.030939204
1450	0	4.036553828
1550	0	4.040353775
1650	0	4.043059523
1750	0	4.045210838
1850	0	4.046991825
1950	0	4.048456137
2050	0.767674089	4.010803788
2150	-5.524256342	4.225760096
2250	0.418832898	4.020731268
2350	0.257946407	3.989177043
2450	7.161207947	3.77114346
2550	0.399669492	4.00468755
2650	-0.026762155	4.011497128
2750	0.41922347	4.003100615
2850	0.460457591	3.993300664
2950	0.433376322	3.993310535
3050	0.255586773	3.992802454
3150	0.453060293	3.985468388
3250	0.370064151	3.995087142
3350	-0.00560708	4.007427148
3450	-0.00560708	4.01898241
3550	-0.012701268	4.024001598
3650	-0.011771023	4.027239799
3750	-0.00560708	4.029400733
3850	0	4.030892113
3950	0	4.032125874
4050	0	4.033391953
4150	0.78869324	3.993948317
4250	-5.53942851	4.209835581
4350	0.423857267	4.003726207
4450	0.25399702	3.972364619
4550	7.156659658	3.753965191
4650	0.396039258	3.987583321
4750	-0.021178656	3.994139817
4850	0.419355606	3.985630274
4950	0.4532486	3.975923396
5050	0.433772444	3.975827517
5150	0.258581251	3.975463062
5250	0.450035941	3.968525878
5350	0.386797285	3.977029068
5450	-0.007849308	3.990179562
5550	-0.008994395	4.001145538
5650	-0.006461563	4.00583449
5750	-0.00560708	4.008525262
5850	-0.00560708	4.010526131
5950	0	4.011696815
6050	0	4.012970607
6150	0	4.013824616
6250	0.824440055	3.973780893
6350	-5.5581141	4.192002589
6450	0.421776565	3.985261381
6550	0.25698194	3.955102425
6650	7.173501734	3.73608074
6750	0.394679428	3.970830021
6850	-0.010447334	3.977076596
6950	0.422197041	3.96882088
7050	0.45558162	3.959545312
7150	0.438169195	3.959293004
7250	0.255586773	3.959411287
7350	0.451482147	3.952440023
7450	0.388257633	3.960962184
7550	-0.007843028	3.97415066
7650	-0.00560708	3.984686238
7750	-0.001525926	3.989192247
7850	-0.00560708	3.991944551
7950	-0.00560708	3.993725538
8050	0	3.994934035
8150	0	3.995992184
8250	0	3.996833441
8350	0.862254798	3.955873944
8450	-5.58021112	4.176620281
8550	0.421582649	3.969063398
8650	0.257265173	3.939345496
8750	7.219182751	3.719792431
8850	0.393612689	3.955695661
8950	-0.001389067	3.961536737
